test_id,case_id,mode,edit_type,bundle_name,bundle_root,scenario_text,agent_request,baseline_completed,baseline_det_valid,edit_applied,roundtrip_or_agent_completed,post_det_valid,post_agentic_valid,post_overall_valid,regenerated_puml,edit_preserved,protected_behavior_preserved,unintended_changes_detected,hitl_success,det_errors_after,det_warnings_after,revision_dir,puml_path,ir_path,validation_path,layer5_path,notes
manual_puml_S10_DelayEdit,S10_DelayEdit,manual_puml,delay_change,HITL_Manual_S10_DelayEdit,hitl_metrics_out\runs\HITL_Manual_S10_DelayEdit,"If motion is detected by the Hallway Motion Sensor and the Front Door Lock is unlocked, then turn on the Hallway Light for 5 minutes.",,True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Manual_S10_DelayEdit\edits\edit_001,hitl_metrics_out\runs\HITL_Manual_S10_DelayEdit\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Manual_S10_DelayEdit\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Manual_S10_DelayEdit\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Manual_S10_DelayEdit\edits\edit_001\hitl.l5.validation_agent.json,Changed duration from 300s to 600s. | Round-trip OK (no errors).
agentic_nl_edit_S10_DelayEdit,S10_DelayEdit,agentic_nl_edit,delay_change,HITL_Agent_S10_DelayEdit,hitl_metrics_out\runs\HITL_Agent_S10_DelayEdit,"If motion is detected by the Hallway Motion Sensor and the Front Door Lock is unlocked, then turn on the Hallway Light for 5 minutes.","Change the hallway light timeout from 5 minutes to 10 minutes. Keep the same trigger, guard, and devices.",True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Agent_S10_DelayEdit\edits\edit_001,hitl_metrics_out\runs\HITL_Agent_S10_DelayEdit\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Agent_S10_DelayEdit\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Agent_S10_DelayEdit\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Agent_S10_DelayEdit\edits\edit_001\hitl.l5.validation_agent.json,Agent summary: Changed the timeout for turning off the hallway light from 5 minutes to 10 minutes. | Diff summary: | - transitions added (1) | - transitions removed (1) | Validation: OK | Revision written: hitl_metrics_out\runs\HITL_Agent_S10_DelayEdit\edits\edit_001 | Regenerated diagram: hitl_metrics_out\runs\HITL_Agent_S10_DelayEdit\edits\edit_001\final.puml | Updated current: YES
manual_puml_S13_GuardEdit,S13_GuardEdit,manual_puml,guard_change,HITL_Manual_S13_GuardEdit,hitl_metrics_out\runs\HITL_Manual_S13_GuardEdit,"If the Front Door Contact Sensor opens and User Presence is not present, then turn on the Hallway Light.",,True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Manual_S13_GuardEdit\edits\edit_001,hitl_metrics_out\runs\HITL_Manual_S13_GuardEdit\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Manual_S13_GuardEdit\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Manual_S13_GuardEdit\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Manual_S13_GuardEdit\edits\edit_001\hitl.l5.validation_agent.json,Changed presence guard from not present to present. | Round-trip OK (no errors).
agentic_nl_edit_S13_GuardEdit,S13_GuardEdit,agentic_nl_edit,guard_change,HITL_Agent_S13_GuardEdit,hitl_metrics_out\runs\HITL_Agent_S13_GuardEdit,"If the Front Door Contact Sensor opens and User Presence is not present, then turn on the Hallway Light.","Change the condition so the hallway light turns on only when User Presence is present, instead of not present. Keep the front door opening trigger.",True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Agent_S13_GuardEdit\edits\edit_001,hitl_metrics_out\runs\HITL_Agent_S13_GuardEdit\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Agent_S13_GuardEdit\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Agent_S13_GuardEdit\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Agent_S13_GuardEdit\edits\edit_001\hitl.l5.validation_agent.json,Agent summary: Changed the guard condition to turn on the hallway light only when User Presence is present instead of not present. | Diff summary: | - transitions added (1) | - transitions removed (1) | Validation: OK | Revision written: hitl_metrics_out\runs\HITL_Agent_S13_GuardEdit\edits\edit_001 | Regenerated diagram: hitl_metrics_out\runs\HITL_Agent_S13_GuardEdit\edits\edit_001\final.puml | Updated current: YES
manual_puml_S16_RemoveNotify,S16_RemoveNotify,manual_puml,remove_action,HITL_Manual_S16_RemoveNotify,hitl_metrics_out\runs\HITL_Manual_S16_RemoveNotify,"If the Front Door Contact Sensor opens while Location Mode is Away, then turn on the Main Alarm Siren and send a notification.",,True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Manual_S16_RemoveNotify\edits\edit_001,hitl_metrics_out\runs\HITL_Manual_S16_RemoveNotify\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Manual_S16_RemoveNotify\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Manual_S16_RemoveNotify\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Manual_S16_RemoveNotify\edits\edit_001\hitl.l5.validation_agent.json,Removed notify action while preserving other actions. | Round-trip OK (no errors).
agentic_nl_edit_S16_RemoveNotify,S16_RemoveNotify,agentic_nl_edit,remove_action,HITL_Agent_S16_RemoveNotify,hitl_metrics_out\runs\HITL_Agent_S16_RemoveNotify,"If the Front Door Contact Sensor opens while Location Mode is Away, then turn on the Main Alarm Siren and send a notification.",Remove the notification action from this automation. Keep the Main Alarm Siren action and keep the Location Mode Away condition.,True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Agent_S16_RemoveNotify\edits\edit_001,hitl_metrics_out\runs\HITL_Agent_S16_RemoveNotify\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Agent_S16_RemoveNotify\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Agent_S16_RemoveNotify\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Agent_S16_RemoveNotify\edits\edit_001\hitl.l5.validation_agent.json,Agent summary: Removed the notification action from the transition while keeping the alarm siren action and the location mode guard. | Diff summary: | - transitions added (1) | - transitions removed (1) | Validation: OK | Revision written: hitl_metrics_out\runs\HITL_Agent_S16_RemoveNotify\edits\edit_001 | Regenerated diagram: hitl_metrics_out\runs\HITL_Agent_S16_RemoveNotify\edits\edit_001\final.puml | Updated current: YES
manual_puml_S17_AddNotify,S17_AddNotify,manual_puml,add_action,HITL_Manual_S17_AddNotify,hitl_metrics_out\runs\HITL_Manual_S17_AddNotify,"If User Presence becomes not present and Location Mode is set to Away, then turn off the Hallway Light and lock the Front Door Lock.",,True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Manual_S17_AddNotify\edits\edit_001,hitl_metrics_out\runs\HITL_Manual_S17_AddNotify\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Manual_S17_AddNotify\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Manual_S17_AddNotify\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Manual_S17_AddNotify\edits\edit_001\hitl.l5.validation_agent.json,Added away-mode notification action. | Round-trip OK (no errors).
agentic_nl_edit_S17_AddNotify,S17_AddNotify,agentic_nl_edit,add_action,HITL_Agent_S17_AddNotify,hitl_metrics_out\runs\HITL_Agent_S17_AddNotify,"If User Presence becomes not present and Location Mode is set to Away, then turn off the Hallway Light and lock the Front Door Lock.","Add a notification action that says ""House set to away mode."" Keep the existing actions that turn off the hallway light and lock the front door.",True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Agent_S17_AddNotify\edits\edit_001,hitl_metrics_out\runs\HITL_Agent_S17_AddNotify\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Agent_S17_AddNotify\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Agent_S17_AddNotify\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Agent_S17_AddNotify\edits\edit_001\hitl.l5.validation_agent.json,Agent summary: Added a notification action to the existing transition that turns off the hallway light and locks the front door. | Diff summary: | - transitions added (1) | - transitions removed (1) | Validation: OK | Revision written: hitl_metrics_out\runs\HITL_Agent_S17_AddNotify\edits\edit_001 | Regenerated diagram: hitl_metrics_out\runs\HITL_Agent_S17_AddNotify\edits\edit_001\final.puml | Updated current: YES
manual_puml_S20_NotificationEdit,S20_NotificationEdit,manual_puml,notification_message_change,HITL_Manual_S20_NotificationEdit,hitl_metrics_out\runs\HITL_Manual_S20_NotificationEdit,"If the Front Door Lock becomes unlocked after 9:00 PM, then turn on the Hallway Light and send a notification.",,False,False,False,False,False,False,False,False,False,False,,False,,,,,,,,ERROR: argument of type 'int' is not iterable
agentic_nl_edit_S20_NotificationEdit,S20_NotificationEdit,agentic_nl_edit,notification_message_change,HITL_Agent_S20_NotificationEdit,hitl_metrics_out\runs\HITL_Agent_S20_NotificationEdit,"If the Front Door Lock becomes unlocked after 9:00 PM, then turn on the Hallway Light and send a notification.","Change the notification message to ""Warning: front door unlocked after 9 PM."" Keep the lock trigger, time condition, and hallway light action unchanged.",False,False,False,False,False,False,False,False,False,False,,False,,,,,,,,ERROR: argument of type 'int' is not iterable
manual_puml_S12_DurationEdit,S12_DurationEdit,manual_puml,duration_change,HITL_Manual_S12_DurationEdit,hitl_metrics_out\runs\HITL_Manual_S12_DurationEdit,"If the Front Door Contact Sensor stays open for more than 5 minutes, then turn off the Hallway Light.",,True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Manual_S12_DurationEdit\edits\edit_001,hitl_metrics_out\runs\HITL_Manual_S12_DurationEdit\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Manual_S12_DurationEdit\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Manual_S12_DurationEdit\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Manual_S12_DurationEdit\edits\edit_001\hitl.l5.validation_agent.json,Changed duration from 300s to 600s. | Round-trip OK (no errors).
agentic_nl_edit_S12_DurationEdit,S12_DurationEdit,agentic_nl_edit,duration_change,HITL_Agent_S12_DurationEdit,hitl_metrics_out\runs\HITL_Agent_S12_DurationEdit,"If the Front Door Contact Sensor stays open for more than 5 minutes, then turn off the Hallway Light.",Change the duration condition from more than 5 minutes to more than 10 minutes. Keep the front door contact sensor trigger and the hallway light off action.,True,True,True,True,True,True,True,True,True,True,False,True,0,0,hitl_metrics_out\runs\HITL_Agent_S12_DurationEdit\edits\edit_001,hitl_metrics_out\runs\HITL_Agent_S12_DurationEdit\edits\edit_001\final.puml,hitl_metrics_out\runs\HITL_Agent_S12_DurationEdit\edits\edit_001\final.ir.json,hitl_metrics_out\runs\HITL_Agent_S12_DurationEdit\edits\edit_001\validation_report.json,hitl_metrics_out\runs\HITL_Agent_S12_DurationEdit\edits\edit_001\hitl.l5.validation_agent.json,"Agent summary: Updated the duration condition from 5 minutes to 10 minutes on the transition from DoorOpen to Idle, keeping the front door contact sensor trigger and hallway light off action. | Diff summary: | - transitions added (1) | - transitions removed (1) | Validation: OK | Revision written: hitl_metrics_out\runs\HITL_Agent_S12_DurationEdit\edits\edit_001 | Regenerated diagram: hitl_metrics_out\runs\HITL_Agent_S12_DurationEdit\edits\edit_001\final.puml | Updated current: YES"
